The seminar leader was well prepared,The seminar leader gave interesting and informative classes,The seminar leader explained the subject clearly,The seminar leader was effective in leading the class or seminar,The seminar leader is receptive to students' questions,The seminar leader stimulates interest in the subject,The seminar leader stimulates discussion on the subject,The seminar leader stimulates me to think and learn,The seminar leader has a good rapport with the class,The seminar leader is available to answer questions during office hours,What have been the positive features of this module up to this point?,Were there any negative features of this module up to this point? What aspects of the module might be improved?,Any other comments
5,5,5,5,5,5,5,5,5,5,Organisation is good.,Is it possible to have more online quizzes as they are just very convenient.,
5,5,5,5,5,4,5,4,5,,hugo explains things that aren’t necessarily explained very well in the lectures (the seminars are more helpful than the lectures),,
5,5,5,5,5,4,5,5,4,5,"Well structured lecture notes that are clear and easy to understand, seminar exercises clarify the topics ",Pace of the lectures could be faster/ cover things that supplement the reading rather than just repeat it,
5,5,5,5,4,5,5,5,5,4,This module has greatly increased my interests in parts of philosophy such as logic and gave me a great idea of what fields in philosophy I will be interested in further into my course.,,
5,5,5,5,5,5,5,5,5,5,Hugo explains things very clearly.,,
3,4,3,4,5,5,5,3,4,,,,
5,5,5,5,5,5,5,5,5,4,I have actually enjoyed this even though its math. Yuck. It has been genuinely very interesting and I've been able to keep up.,,
5,5,5,5,5,5,5,5,5,,Very clear explanations of topics discussed in lecture. Encourages participation and engagement among the class. Receptive to differing ideas and willing to re-explain points of confusion.,,
5,5,5,5,5,5,5,5,5,5,"Hugo has been very attentive to students' questions and needs regarding the module, it helps understand a lot!",,
5,5,5,5,5,5,5,5,4,4,"clear explanations, provides context and interesting facts to what we learn ",,
5,3,4,4,5,3,5,3,4,4,,,
5,5,4,4,5,5,5,4,5,4,Open debates about the questions and clear answers to student questions.,,
5,4,4,4,4,4,4,4,,,i like the structure - consistently having questions to work through to test understanding is good.,could potentially choose people to answer questions quicker when no one is answering - keep the seminar from stalling with lengthy silences,
5,5,5,5,5,5,5,5,5,,"We've had many interesting discussions in seminars and debates, with careful consideration of the points made by all sides. The teaching is done clearly and in a helpful way so that I feel confident in the topics.",,
5,5,5,5,5,5,5,5,5,5,,,
5,4,4,4,4,4,4,4,4,4,Hugo is helpful when explaining material and makes it easier to understand,,
5,4,5,5,5,4,5,4,5,4,"- explains things clearly when you don’t understand
- allows for discussion when the answers to things are nuanced or unclear",no,
5,5,5,4,5,5,4,5,4,5,"I have found the subject applicable to other areas of my studies, and the lecture and seminar leaders are friendly and engaging ",,
5,4,4,3,5,5,5,4,3,5,He answers questions very well,,
4,4,4,4,5,4,4,4,4,,I like the exercises to do every week because it helps me to stay on top of things,,
5,4,4,5,5,3,2,3,4,5,"It’s a good, clear seminar and he is easy to understand ",The pace could go faster- we spend most if not all the seminar go through all the answers which we get on the online version anyway,
